,hostname,pid,num_impressions,is_iab_inview,tobii_viewability%
0,aftonbladet.se,19499407,21734,13047,60.0
1,aftonbladet.se,19499410,24396,13067,54.0
2,aftonbladet.se,19499417,43047,26818,62.0
3,aftonbladet.se,19499420,26611,11824,44.0
4,aftonbladet.se,19499425,5683,2473,44.0
5,aftonbladet.se,19499428,28663,9760,34.0
6,aftonbladet.se,19499429,1307,556,43.0
7,aftonbladet.se,19499430,1094,530,48.0
8,aftonbladet.se,19499433,5826,2869,49.0
9,aftonbladet.se,19499437,1786,856,48.0
10,aftonbladet.se,19499438,1709,833,49.0
11,aftonbladet.se,19499440,5595,3913,70.0
12,aftonbladet.se,19499441,29869,18649,62.0
13,aftonbladet.se,19499442,32205,25546,79.0
14,aftonbladet.se,19499443,37779,14847,39.0
15,aftonbladet.se,19499449,38,21,55.0
16,aftonbladet.se,19499470,123,71,58.0
17,aftonbladet.se,19499475,175,75,43.0
18,aftonbladet.se,19499490,202,140,69.0
19,aftonbladet.se,21067128,1149,559,49.0
20,aftonbladet.se,21067129,875,479,55.0
21,aftonbladet.se,21067130,774,403,52.0
22,aftonbladet.se,21067133,832,405,49.0
23,aftonbladet.se,21067134,625,292,47.0
24,aftonbladet.se,23373659,649,214,33.0
25,aftonbladet.se,23373681,1626,730,45.0
26,aftonbladet.se,23373701,114,39,34.0
27,aftonbladet.se,23375557,1952,1017,52.0
28,blocket.se,19499521,11340,4578,40.0
29,blocket.se,19499522,9103,3189,35.0
30,blocket.se,19499523,9203,1411,15.0
31,blocket.se,19499524,9242,1544,17.0
32,blocket.se,19499532,13172,6648,50.0
33,blocket.se,19499533,11303,5848,52.0
34,blocket.se,19499535,75,35,47.0
35,blocket.se,19499541,66,16,24.0
36,blocket.se,19499542,3,0,0.0
37,dn.se,9152456,38,24,63.0
38,dn.se,19168785,16,12,75.0
39,dn.se,20148696,170,98,58.0
40,dn.se,20148697,242,154,64.0
41,dn.se,20148698,379,298,79.0
42,dn.se,20148699,6,3,50.0
43,dn.se,20148700,8,3,38.0
44,dn.se,20148701,9,9,100.0
45,dn.se,20148703,33,21,64.0
46,dn.se,20148707,2,1,50.0
47,dn.se,20148708,3,2,67.0
48,dn.se,20148709,14,11,79.0
49,dn.se,20148733,8,3,38.0
50,dn.se,20148735,11,11,100.0
51,dn.se,20532351,3,3,100.0
52,dn.se,20690083,2,0,0.0
53,dn.se,21049063,7,2,29.0
54,dn.se,21792915,47,32,68.0
55,expressen.se,6933,1,0,0.0
56,expressen.se,6935443,5,3,60.0
57,expressen.se,8941443,180,109,61.0
58,expressen.se,14827887,3,0,0.0
59,expressen.se,19168786,84,56,67.0
60,expressen.se,20148635,237,100,42.0
61,expressen.se,20148636,1584,1082,68.0
62,expressen.se,20148637,1178,913,78.0
63,expressen.se,20148638,600,322,54.0
64,expressen.se,20148639,3,2,67.0
65,expressen.se,20148646,6,1,17.0
66,expressen.se,20148648,2,1,50.0
67,expressen.se,20148658,9,6,67.0
68,expressen.se,20148661,6,2,33.0
69,expressen.se,20148666,4,4,100.0
70,expressen.se,20148667,4,1,25.0
71,expressen.se,20148668,6,5,83.0
72,expressen.se,20148671,14,8,57.0
73,expressen.se,20148673,8,6,75.0
74,expressen.se,20148678,10,1,10.0
75,expressen.se,20148679,85,48,56.0
76,expressen.se,20148680,69,45,65.0
77,expressen.se,20148681,65,32,49.0
78,expressen.se,20148684,13,8,62.0
79,expressen.se,20148685,34,27,79.0
80,expressen.se,20148686,49,33,67.0
81,expressen.se,20148687,82,51,62.0
82,expressen.se,20148690,3,2,67.0
83,expressen.se,20148691,3,2,67.0
84,expressen.se,20148692,7,4,57.0
85,expressen.se,20148693,8,8,100.0
86,expressen.se,20148868,21,10,48.0
87,expressen.se,20148869,8,8,100.0
88,expressen.se,20148873,4,0,0.0
89,expressen.se,20148874,2,2,100.0
90,expressen.se,20148892,9,5,56.0
91,expressen.se,20148894,13,9,69.0
92,expressen.se,20531111,233,147,63.0
93,expressen.se,20532341,21,17,81.0
94,expressen.se,20532342,41,29,71.0
95,expressen.se,20532346,95,63,66.0
96,expressen.se,21049064,1,0,0.0
97,expressen.se,21791796,2,2,100.0
98,expressen.se,21791799,20,9,45.0
99,expressen.se,21791802,5,1,20.0
100,expressen.se,21791804,2,2,100.0
101,expressen.se,21791808,1,0,0.0
102,expressen.se,22804461,6,0,0.0
103,expressen.se,22804470,2,0,0.0
104,svd.se,19499696,321,125,39.0
105,svd.se,19499697,127,62,49.0
106,svd.se,19499698,75,29,39.0
107,svd.se,19499699,42,25,60.0
108,svd.se,19499702,1087,337,31.0
109,svd.se,19499705,935,354,38.0
110,svd.se,19499706,544,320,59.0
111,svd.se,19499707,320,208,65.0
112,svd.se,19499708,174,120,69.0
113,svd.se,19499711,620,303,49.0
114,svd.se,19499712,7641,4910,64.0
115,svd.se,19499713,1797,1338,74.0
116,svd.se,19499714,592,509,86.0
117,svd.se,19499715,334,71,21.0
118,svd.se,19499716,2406,1361,57.0
119,svd.se,19499717,975,614,63.0
120,svd.se,19499718,546,336,62.0
121,svd.se,19499722,989,512,52.0
122,svd.se,19499723,671,354,53.0
123,svd.se,19499727,623,263,42.0
124,svd.se,19499728,2801,1791,64.0
125,svd.se,19499729,3490,2806,80.0
126,svd.se,19499730,1103,987,89.0
127,svd.se,19499732,2,2,100.0
128,svd.se,19499733,90,41,46.0
129,svd.se,19499734,59,21,36.0
130,svd.se,19499735,37,4,11.0
131,svd.se,19499740,2,2,100.0
132,svd.se,19499741,261,118,45.0
133,svd.se,19499742,49,2,4.0
134,svd.se,19499743,154,76,49.0
135,svd.se,19499744,100,42,42.0
136,svd.se,19499745,86,42,49.0
137,svd.se,19499746,76,31,41.0
138,svd.se,19499749,35,14,40.0
139,svd.se,19499750,266,118,44.0
140,svd.se,27264940,16,5,31.0
141,svd.se,27264953,354,194,55.0
